Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,AME-2,10015,Epic,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 12:53 PM,05/Jan/25 12:53 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00033:,,,,,,,,,,,,,,,,,To Do,05/Jan/25 12:53 PM
Story 1.3: Include navigation to other sections of the platform.,AME-18,10031,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:52 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:52 PM
Subtask 1.3.1: Agile Frameworks like SCRUM and Kanban,AME-19,10032,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:53 PM,05/Jan/25 10:36 PM,05/Jan/25 9:54 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:53 PM
Subtask 1.3.2: Tools,AME-20,10033,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:54 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:54 PM
Subtask 1.3.3: Community,AME-21,10034,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:54 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,AME Sprint 1,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:54 PM
Feature 2: Agile Values and Principles,AME-22,10035,Feature,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 9:55 PM,05/Jan/25 10:36 PM,05/Jan/25 10:08 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 9:55 PM
Story 2.1: Create a page to display the four core Agile values.,AME-23,10036,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:04 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:04 PM
Subtask 2.1.1: Individuals and Interactions Over Processes and Tools,AME-24,10037,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:04 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:04 PM
Subtask 2.1.2: Working Software Over Comprehensive Documentation,AME-25,10038,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:04 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:04 PM
Subtask 2.1.3: Customer Collaboration Over Contract Negotiation,AME-26,10039,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:05 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:05 PM
Subtask 2.1.4: Responding to Change Over Following a Plan,AME-27,10040,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:05 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:05 PM
Story 2.2: Implement an interactive feature to explain the 12 principles.,AME-28,10041,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:05 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:05 PM
Subtask 2.2.1: HTML,AME-29,10042,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:05 PM,05/Jan/25 10:36 PM,05/Jan/25 10:06 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:05 PM
Subtask 2.2.2: CSS,AME-30,10043,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:05 PM,05/Jan/25 10:36 PM,05/Jan/25 10:06 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:05 PM
Subtask 2.2.3: Javascript,AME-31,10044,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:05 PM,05/Jan/25 10:36 PM,05/Jan/25 10:06 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:05 PM
Story 2.3: Add examples to illustrate each value and principle.,AME-32,10045,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:06 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008v:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:06 PM
Subtask 2.3.1: Example 1,AME-33,10046,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:06 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:06 PM
Subtask 2.3.2: Example 2,AME-34,10047,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:06 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:06 PM
Subtask 2.3.3: Example 3,AME-35,10048,Task,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:06 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,AME Sprint 2,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:06 PM
Feature 3: Resource Library,AME-36,10049,Feature,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:07 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,AME Sprint 3,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:07 PM
"Story 3.1: Design a library for Agile practices (Scrum, Kanban, etc.)",AME-37,10050,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:08 PM,05/Jan/25 10:36 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009z:,,,AME Sprint 3,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:08 PM
Story 3.2: Include downloadable resources like templates and guides,AME-38,10051,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:08 PM,05/Jan/25 10:37 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,AME Sprint 3,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:08 PM
Story 3.3: Add search and filter functionality,AME-39,10052,Story,To Do,AME,Agile Manifesto Exercise,software,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,Medium,,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,05/Jan/25 10:08 PM,05/Jan/25 10:37 PM,06/Jan/25 12:33 PM,,,0,,,Amogh K Umesh,712020:3431d711-e691-474b-87d5-610f2d7e8719,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d7:,,,AME Sprint 3,,,,,,,,,,,,10015,Create a web-based platform to educate and engage users about the Agile Manifesto and methodologies.,To Do,05/Jan/25 10:08 PM
